First Name,Last Name,Birth Date,City
Elijah,Lopez,1992-06-20,Houston
Olivia,Rodriguez,1986-04-11,Philadelphia
Elijah,Davis,1993-07-01,San Jose
Sophia,Wilson,1982-02-07,Dallas
Isabella,Davis,1990-10-17,Houston
Isabella,Gonzalez,1988-06-20,San Diego
Amelia,Gonzalez,1993-03-17,Chicago
Ethan,Smith,1972-04-30,Phoenix
Sophia,Gonzalez,2000-02-06,New York
Lucas,Smith,1987-12-13,San Jose
Mia,Williams,1970-01-01,San Diego
Noah,Johnson,2005-09-24,Houston
Liam,Martinez,1977-01-07,Philadelphia
Isabella,Rodriguez,1985-08-04,San Jose
Ethan,Johnson,1990-10-03,San Jose
